Unternehmen,Umsatz in Mio Euro,Mitarbeiter,Angestellte
ORF,967,249613,3874
Mediaprint,452.8,390008.61,1161
Styria,437.2,145733.33,3000
Red Bull Media House,200,266666.67,750
Verlagsgruppe NEWS,120,266666.67,55
Prosieben Sat.1 Puls 4,115,460000.00,250
Standard-Gruppe,63.2,162051.28,390
ATV,33,253846.15,130
ARD, 6265, 302015,20744
RTL Group,5998,492284.96,12184
ProSieben Sat.1 GESAMT,2969,981163.25,3026
ZDF, 2028, 558523.82,3631
SKY Deutschland,1333,687467.77,1939
Deutschlandradio, 218, 307042.25,710
