RECHTSTRÄGER;QUARTAL;BEKANNTGABE;LEERMELDUNG;MEDIUM_MEDIENINHABER;EURO
Aaron Kontor AT1 GmbH;20133;2;1;;
Aaron Kontor AT1 GmbH;20133;4;1;;
ABC-Provider GmbH;20133;2;1;;
ABC-Provider GmbH;20133;4;1;;
Abfall-Aufbereitungs GmbH;20133;2;1;;
Abfall-Aufbereitungs GmbH;20133;4;1;;
Abfallbehandlung Ahrental GmbH;20133;2;1;;
Abfallbehandlung Ahrental GmbH;20133;4;1;;
"Abfallbehandlung und -verwertung ""Am Ziegelofen"" GmbH";20133;2;1;;
"Abfallbehandlung und -verwertung ""Am Ziegelofen"" GmbH";20133;4;1;;
Abfallbeseitigungsverband Innsbruck-Land;20133;2;1;;
Abfallbeseitigungsverband Innsbruck-Land;20133;4;1;;
Abfallbeseitigungsverband Mittleres Unterinntal;20133;2;1;;
Abfallbeseitigungsverband Mittleres Unterinntal;20133;4;1;;
Abfallbeseitigungsverband Seefelder Plateau (Region 10);20133;2;1;;
Abfallbeseitigungsverband Seefelder Plateau (Region 10);20133;4;1;;
Abfallbeseitigungsverband südöstliches Mittelgebirge;20133;2;1;;
Abfallbeseitigungsverband südöstliches Mittelgebirge;20133;4;1;;
Abfallbeseitigungsverband Westtirol;20133;2;1;;
Abfallbeseitigungsverband Westtirol;20133;4;1;;
Abfallentsorgungsverband Kufstein;20133;2;1;;
Abfallentsorgungsverband Kufstein;20133;4;1;;
Abfallverband Großraum Salzburg;20133;2;1;;
Abfallverband Großraum Salzburg;20133;4;1;;
Abfallverband Pinzgau;20133;2;1;;
Abfallverband Pinzgau;20133;4;1;;
Abfallwirtschaft Tirol-Mitte Ges.mbH.;20133;2;1;;
Abfallwirtschaft Tirol-Mitte Ges.mbH.;20133;4;1;;
Abfallwirtschaftsverband Bezirk Kitzbühel;20133;2;1;;
Abfallwirtschaftsverband Bezirk Kitzbühel;20133;4;1;;
Abfallwirtschaftsverband Bezirk Reutte;20133;2;1;;
Abfallwirtschaftsverband Bezirk Reutte;20133;4;1;;
Abfallwirtschaftsverband Deutschlandsberg;20133;2;1;;
Abfallwirtschaftsverband Deutschlandsberg;20133;4;1;;
Abfallwirtschaftsverband Feldbach;20133;2;1;;
Abfallwirtschaftsverband Feldbach;20133;4;1;;
Abfallwirtschaftsverband Fürstenfeld;20133;2;1;;
Abfallwirtschaftsverband Fürstenfeld;20133;4;1;;
Abfallwirtschaftsverband Graz-Umgebung;20133;2;1;;
Abfallwirtschaftsverband Graz-Umgebung;20133;4;1;;
Abfallwirtschaftsverband Hartberg;20133;2;1;;
Abfallwirtschaftsverband Hartberg;20133;4;1;;
Abfallwirtschaftsverband Judenburg;20133;2;1;;
Abfallwirtschaftsverband Judenburg;20133;4;1;;
Abfallwirtschaftsverband Klagenfurt;20133;2;1;;
Abfallwirtschaftsverband Klagenfurt;20133;4;1;;
Abfallwirtschaftsverband Knittelfeld;20133;2;1;;
Abfallwirtschaftsverband Knittelfeld;20133;4;1;;
Abfallwirtschaftsverband Korneuburg;20133;2;1;;
Abfallwirtschaftsverband Korneuburg;20133;4;1;;
Abfallwirtschaftsverband Lavanttal;20133;2;1;;
Abfallwirtschaftsverband Lavanttal;20133;4;1;;
Abfallwirtschaftsverband Leibnitz;20133;2;1;;
Abfallwirtschaftsverband Leibnitz;20133;4;1;;
Abfallwirtschaftsverband Leoben;20133;2;1;;
Abfallwirtschaftsverband Leoben;20133;4;1;;
Abfallwirtschaftsverband Liezen;20133;2;1;;
Abfallwirtschaftsverband Liezen;20133;4;1;;
Abfallwirtschaftsverband Lungau;20133;2;1;;
Abfallwirtschaftsverband Lungau;20133;4;1;;
Abfallwirtschaftsverband Murau;20133;2;1;;
Abfallwirtschaftsverband Murau;20133;4;1;;
Abfallwirtschaftsverband Mürzverband;20133;2;1;;
Abfallwirtschaftsverband Mürzverband;20133;4;1;;
Abfallwirtschaftsverband Neunkirchen;20133;2;1;;
Abfallwirtschaftsverband Neunkirchen;20133;4;1;;
Abfallwirtschaftsverband Osttirol;20133;2;1;;
